STATION,NAME,DATE,PRCP,TAVG,TMAX,TMIN,DAY
USW00014914,"FARGO HECTOR INTERNATIONAL AIRPORT, ND US",2018-06-28,0,78,90,62,179
USW00014914,"FARGO HECTOR INTERNATIONAL AIRPORT, ND US",2018-06-29,0.72,77,79,65,180
USW00014914,"FARGO HECTOR INTERNATIONAL AIRPORT, ND US",2018-06-30,0,73,80,63,181
USW00014914,"FARGO HECTOR INTERNATIONAL AIRPORT, ND US",2018-07-01,0.01,70,82,61,182
USW00014914,"FARGO HECTOR INTERNATIONAL AIRPORT, ND US",2018-07-02,0.56,71,81,57,183
USW00014914,"FARGO HECTOR INTERNATIONAL AIRPORT, ND US",2018-07-03,0.32,74,83,67,184
USW00014914,"FARGO HECTOR INTERNATIONAL AIRPORT, ND US",2018-07-04,0.55,77,86,63,185
USW00014914,"FARGO HECTOR INTERNATIONAL AIRPORT, ND US",2018-07-05,0,69,78,57,186
USW00014914,"FARGO HECTOR INTERNATIONAL AIRPORT, ND US",2018-07-06,0.14,68,78,55,187
USW00014914,"FARGO HECTOR INTERNATIONAL AIRPORT, ND US",2018-07-07,0,76,90,67,188
USW00014914,"FARGO HECTOR INTERNATIONAL AIRPORT, ND US",2018-07-08,0.3,83,88,67,189
USW00014914,"FARGO HECTOR INTERNATIONAL AIRPORT, ND US",2018-07-09,0,74,84,62,190
USW00014914,"FARGO HECTOR INTERNATIONAL AIRPORT, ND US",2018-07-10,0.16,74,82,67,191
USW00014914,"FARGO HECTOR INTERNATIONAL AIRPORT, ND US",2018-07-11,0,80,92,73,192
USW00014914,"FARGO HECTOR INTERNATIONAL AIRPORT, ND US",2018-07-12,0,76,82,62,193
USW00014914,"FARGO HECTOR INTERNATIONAL AIRPORT, ND US",2018-07-13,0,76,90,63,194
USW00014914,"FARGO HECTOR INTERNATIONAL AIRPORT, ND US",2018-07-14,0,78,89,66,195
USW00014914,"FARGO HECTOR INTERNATIONAL AIRPORT, ND US",2018-07-15,0.01,74,79,62,196
USW00014914,"FARGO HECTOR INTERNATIONAL AIRPORT, ND US",2018-07-16,0,69,80,56,197
USW00014914,"FARGO HECTOR INTERNATIONAL AIRPORT, ND US",2018-07-17,0,67,81,50,198
USW00014914,"FARGO HECTOR INTERNATIONAL AIRPORT, ND US",2018-07-18,0,72,84,60,199
USW00014914,"FARGO HECTOR INTERNATIONAL AIRPORT, ND US",2018-07-19,0.68,71,73,65,200
USW00014914,"FARGO HECTOR INTERNATIONAL AIRPORT, ND US",2018-07-20,0.04,68,78,62,201
USW00014914,"FARGO HECTOR INTERNATIONAL AIRPORT, ND US",2018-07-21,0,68,76,60,202
USW00014914,"FARGO HECTOR INTERNATIONAL AIRPORT, ND US",2018-07-22,0.06,71,82,61,203
USW00014914,"FARGO HECTOR INTERNATIONAL AIRPORT, ND US",2018-07-23,0,73,80,58,204
USW00014914,"FARGO HECTOR INTERNATIONAL AIRPORT, ND US",2018-07-24,0,69,83,54,205
USW00014914,"FARGO HECTOR INTERNATIONAL AIRPORT, ND US",2018-07-25,0.03,69,78,56,206
USW00014914,"FARGO HECTOR INTERNATIONAL AIRPORT, ND US",2018-07-26,0,62,73,53,207
USW00014914,"FARGO HECTOR INTERNATIONAL AIRPORT, ND US",2018-07-27,0,63,79,46,208
USW00014914,"FARGO HECTOR INTERNATIONAL AIRPORT, ND US",2018-07-28,0,66,82,49,209
USW00014914,"FARGO HECTOR INTERNATIONAL AIRPORT, ND US",2018-07-29,0,67,82,51,210
USW00014914,"FARGO HECTOR INTERNATIONAL AIRPORT, ND US",2018-07-30,0,69,85,51,211
USW00014914,"FARGO HECTOR INTERNATIONAL AIRPORT, ND US",2018-07-31,0,75,90,62,212
USW00014914,"FARGO HECTOR INTERNATIONAL AIRPORT, ND US",2018-08-01,0,65,63,46,213
USW00014914,"FARGO HECTOR INTERNATIONAL AIRPORT, ND US",2018-08-02,0.02,58,74,40,214
USW00014914,"FARGO HECTOR INTERNATIONAL AIRPORT, ND US",2018-08-03,0,69,81,63,215
USW00014914,"FARGO HECTOR INTERNATIONAL AIRPORT, ND US",2018-08-04,0,75,89,67,216
USW00014914,"FARGO HECTOR INTERNATIONAL AIRPORT, ND US",2018-08-05,0,75,85,57,217
USW00014914,"FARGO HECTOR INTERNATIONAL AIRPORT, ND US",2018-08-06,0.01,69,78,59,218
USW00014914,"FARGO HECTOR INTERNATIONAL AIRPORT, ND US",2018-08-07,0,70,86,54,219
USW00014914,"FARGO HECTOR INTERNATIONAL AIRPORT, ND US",2018-08-08,0,77,92,64,220
